"","epci","commune","numero_d_immatriculation","date_d_immatriculation","date_de_la_derniere_maj","type_de_syndic_benevole_professionnel_non_connu","identification_du_representant_legal_raison_sociale_et_le_numer","raison_sociale_du_representant_legal","siret_du_representant_legal","code_ape","commune_du_representant_legal","mandat_en_cours_dans_la_copropriete","date_de_fin_du_dernier_mandat","nom_d_usage_de_la_copropriete","adresse_de_reference","numero_et_voie_adresse_de_reference","code_postal_adresse_de_reference","commune_adresse_de_reference","adresse_complementaire_1","adresse_complementaire_2","adresse_complementaire_3","nombre_d_adresses_complementaires","long","lat","date_du_reglement_de_copropriete","residence_service","syndicat_cooperatif","syndicat_principal_ou_syndicat_secondaire","si_secondaire_n_d_immatriculation_du_principal","nombre_d_asl_auxquelles_est_rattache_le_syndicat_de_coproprieta","nombre_d_aful_auxquelles_est_rattache_le_syndicat_de_copropriet","nombre_d_unions_de_syndicats_auxquelles_est_rattache_le_syndica","nombre_total_de_lots","nombre_total_de_lots_a_usage_d_habitation_de_bureaux_ou_de_comm","nombre_de_lots_a_usage_d_habitation","nombre_de_lots_de_stationnement","periode_de_construction","reference_cadastrale_1","code_insee_commune_1","prefixe_1","section_1","numero_parcelle_1","reference_cadastrale_2","code_insee_commune_2","prefixe_2","section_2","numero_parcelle_2","reference_cadastrale_3","code_insee_commune_3","prefixe_3","section_3","numero_parcelle_3","nombre_de_parcelles_cadastrales","nom_qp_2015","code_qp_2015","nom_qp_2024","code_qp_2024","copro_dans_acv","copro_dans_pvd","code_de_pdp","copro_dans_pdp","copro_aidee","code_officiel_commune","nom_officiel_commune","code_officiel_arrondissement_commune","nom_officiel_arrondissement_commune","code_officiel_epci","nom_officiel_epci","code_officiel_departement","nom_officiel_departement","code_officiel_region","nom_officiel_region"
"313971",200057875,"93010","AE1727676","2018-12-31","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2022-09-30","47 RUE HENRY ALPY","47 r henri alpy 93140 BONDY","47 r henri alpy",93140,"BONDY","non connu","non connu","non connu",0,2.488551,48.900612,"2011-10-13","non","non","oui","non connu",0,0,0,23,8,8,7,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"319080",200057875,"93010","AE2491025","2019-01-16","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2021-09-30","RCP CARNOT","63 av carnot 93140 Bondy","63 av carnot",93140,"Bondy","non connu","non connu","non connu",0,2.481421,48.899481,"1963-04-30","non","non","oui","non connu",0,0,0,16,7,7,0,"DE_1949_A_1960","93010000AK0090","93010","000","AK","0090","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"319415",200057875,"93010","AE2537405","2019-01-16","2026-01-03","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2027-11-27","SDC RESIDENCE MARIGNY","44 av carnot 93140 BONDY","44 av carnot",93140,"BONDY","non connu","non connu","non connu",0,2.481667,48.900347,"1967-05-22","non","non","oui","non connu",0,0,0,87,29,22,30,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"319516",200057875,"93010","AE2551331","2019-01-16","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-09-30","S144","22 rte de villemomble 93140 Bondy","22 rte de villemomble",93140,"Bondy","non connu","non connu","non connu",0,2.479739,48.8936,"1997-01-01","non","non","oui","non connu",0,0,0,27,10,10,0,"NON_CONNUE","93010000AV0167","93010","000","AV","0167","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"321466",200057875,"93010","AE2839942","2019-02-21","2025-11-29","non connu","non connu","non connu","non connu","non connu","non connu","Mandat expiré sans successeur déclaré","2025-11-27","10 avenue des sciences et 15 allée des alouettes","10 all des alouettes 93140 Bondy","10 all des alouettes",93140,"Bondy","non connu","non connu","non connu",0,2.496143,48.893313,"1964-01-28","non","non","oui","non connu",0,0,0,20,5,5,1,"AVANT_1949","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"321554",200057875,"93010","AE2854867","2019-01-18","2025-11-15","professionnel","SOGIM SARL 42936632100041","SOGIM SARL ","42936632100041","6832A","VILLEMOMBLE","Mandat en cours","2026-09-30","S146","20 r jean jaures 93140 BONDY","20 r jean jaures",93140,"BONDY","non connu","non connu","non connu",0,2.477279,48.902267,"1961-06-02","non","non","oui","non connu",0,0,0,31,15,14,1,"DE_1949_A_1960","93010000AE0029","93010","000","AE","0029","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"321813",200057875,"93010","AE2895951","2019-01-21","2025-12-06","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-09-30","8-14 RUE ROGER SALENGRO","8A r roger salengro 93140 Bondy","8A r roger salengro",93140,"Bondy","8 r roger salengro 93140 BONDY","non connu","non connu",1,2.47968,48.902754,"1985-03-25","non","non","oui","non connu",0,0,0,24,19,13,1,"AVANT_1949","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"322272",200057875,"93010","AE2970853","2019-02-01","2025-11-29","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2027-04-27","SDC LE SAINT JAMES","74 Rue Roger Salengro 93140 BONDY","74 Rue Roger Salengro",93140,"BONDY","non connu","non connu","non connu",0,2.478127,48.899092,"1996-03-01","non","non","oui","non connu",0,0,0,70,24,24,26,"DE_1994_A_2000","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"325999",200057875,"93010","AE3498458","2019-01-29","2025-08-24","professionnel","FONCIA CHADEFAUX LECOQ 59202763500032","FONCIA CHADEFAUX LECOQ ","59202763500032","6831Z","AUBERVILLIERS","Mandat en cours","2026-06-30","VILLA DES CERISES","1 vla des cerises 93140 BONDY","1 vla des cerises",93140,"BONDY","non connu","non connu","non connu",0,2.492171,48.906904,"2016-07-07","non","non","oui","non connu",0,0,0,25,23,23,2,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"326142",200057875,"93010","AE3517836","2019-01-29","2026-01-03","non connu","non connu","non connu","non connu","non connu","non connu","Mandat expiré sans successeur déclaré","2025-12-31","251 A 255 ED. VAILLANT - BONDY","251 r edouard vaillant 93140 BONDY","251 r edouard vaillant",93140,"BONDY","255 r edouard vaillant 93140 BONDY","251 r edouard vaillant 93140 BONDY","253 r edouard vaillant 93140 BONDY",3,2.497079,48.893913,"1964-11-30","non","non","oui","non connu",0,0,0,60,24,24,12,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"327356",200057875,"93010","AE3718640","2019-01-31","2026-01-03","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-01-17","SDC 20 ROUTE DE VILLEMOMBLE","20 rte de villemomble 93140 BONDY","20 rte de villemomble",93140,"BONDY","non connu","non connu","non connu",0,2.479323,48.893662,"1955-03-07","non","non","oui","",0,0,0,27,27,25,0,"DE_1949_A_1960","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"327402",200057875,"93010","AE3726312","2019-02-01","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2019-11-12","SDC RESIDENCE DEBUSSY","2 r du sergent bobillot 93140 BONDY","2 r du sergent bobillot",93140,"BONDY","non connu","non connu","non connu",0,2.476569,48.896252,"1988-11-10","non","non","oui","",0,0,0,62,19,19,24,"DE_1975_A_1993","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"327702",200057875,"93010","AE3771359","2019-03-21","2025-08-24","professionnel","AJASSOCIES 42371917800265","AJASSOCIES ","42371917800265","6910Z","PARIS 16","Mandat en cours","2026-04-21","16 VILLA FLEURY","16 vla fleury 93140 Bondy","16 vla fleury",93140,"Bondy","non connu","non connu","non connu",0,2.478386,48.904734,"2005-10-27","non","non","oui","non connu",0,0,0,12,6,6,6,"NON_CONNUE","930100000J0279","93010","000","0J","0279","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"327899",200057875,"93010","AE3802121","2019-02-01","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2019-04-09","Residence Fontenoy","56 r louis auguste blanqui 93140 Bondy","56 r louis auguste blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.483304,48.899233,"1972-04-27","non","non","oui","non connu",0,0,0,42,13,13,13,"NON_CONNUE","93010000AK0102","93010","000","AK","0102","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Blanqui","QP093012","Blanqui","QN09312I","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"327924",200057875,"93010","AE3806007","2019-02-01","2025-12-13","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-10-08","SDC 166 Henri Barbusse","166 av henri barbusse 93140 Bondy","166 av henri barbusse",93140,"Bondy","non connu","non connu","non connu",0,2.495746,48.89963,"2005-04-01","non","non","oui","non connu",0,0,0,26,7,7,3,"NON_CONNUE","930100000Y0165","93010","000","0Y","0165","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"328171",200057875,"93010","AE3857406","2019-01-31","2025-08-24","professionnel","BS IMMO 91161758700025","BS IMMO ","91161758700025","6832A","PARIS","Mandat en cours","2026-10-30","Les Primeveres","46 av carnot 93140 Bondy","46 av carnot",93140,"Bondy","non connu","non connu","non connu",0,2.481611,48.900219,"1967-12-07","non","non","oui","non connu",0,0,0,57,21,19,17,"NON_CONNUE","93010000AD0067","93010","000","AD","0067","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"328173",200057875,"93010","AE3858156","2019-01-31","2025-08-24","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-09-30","SDC 54 RUE L.A. BLANQUI","54 Rue Louis Auguste Blanqui 93140 Bondy","54 Rue Louis Auguste Blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.483092,48.899312,"1971-01-01","non","non","oui","",0,0,0,122,39,39,44,"DE_1961_A_1974","93010000AK0102","93010","000","AK","0102","93010000AK0142","93010","000","AK","0142","","non connu","non connu","non connu","non connu",0,"Blanqui","QP093012","Blanqui","QN09312I","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"331505",200057875,"93010","AE4434577","2019-01-09","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","64 AVENUE ANATOLE FRANCE","64 av anatole france 93140 Bondy","64 av anatole france",93140,"Bondy","non connu","non connu","non connu",0,2.497992,48.893042,"1987-09-11","non","non connu","oui","non connu",0,0,0,2,2,2,0,"AVANT_1949","93010000AQ0163","93010","000","AQ","0163","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"335156",200057875,"93010","AE5030119","2019-02-07","2025-11-01","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-08-26","Villa Fleury II","14 vla fleury 93140 Bondy","14 vla fleury",93140,"Bondy","non connu","non connu","non connu",0,2.478391,48.904807,"2007-06-30","non","non","oui","non connu",0,0,0,15,7,7,8,"NON_CONNUE","930100000J0027","93010","000","0J","0027","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"335557",200057875,"93010","AE5094552","2019-02-21","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-09-25","50 JULES GUESDE","50 r jules guesde 93140 BONDY","50 r jules guesde",93140,"BONDY","50 r jules guesde 93140 BONDY","50 r jules guesde 93140 BONDY","non connu",2,2.478219,48.90268,"1970-06-16","non","non","oui","non connu",0,0,0,84,28,28,28,"DE_1961_A_1974","93010000AE0175","93010","000","AE","0175","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"336322",200057875,"93010","AE5214010","2019-02-21","2025-12-13","professionnel","AJASSOCIES 42371917800265","AJASSOCIES ","42371917800265","6910Z","PARIS","Pas de mandat en cours","2019-06-30","176 AVENUE HENRI BARBUSSE","176 av henri barbusse 93140 BONDY","176 av henri barbusse",93140,"BONDY","176 av henri barbusse 93140 BONDY","non connu","non connu",1,2.496783,48.899613,"1957-01-30","non","non","oui","non connu",0,0,0,15,8,6,0,"AVANT_1949","93010000OY0197","93010","000","OY","0197","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"338152",200057875,"93010","AE5526793","2019-02-25","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2023-05-20","République","78 av de la republique 93140 Bondy","78 av de la republique",93140,"Bondy","76 av de la republique 93140 Bondy","non connu","non connu",1,2.478459,48.898012,"1985-08-21","non","non","oui","non connu",0,0,0,8,5,5,0,"AVANT_1949","93010000AJ0038","93010","000","AJ","0038","93010000AJ0037","93010","000","AJ","0037","","non connu","non connu","non connu","non connu",2,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"339637",200057875,"93010","AE5752589","2019-02-25","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-04-29","SDC 35 Rue Michelet chez M Makwala NDUNDU","35 r michelet 93140 Bondy","35 r michelet",93140,"Bondy","non connu","non connu","non connu",0,2.474004,48.899912,"2007-01-01","oui","non","oui","non connu",1,0,0,13,4,4,5,"AVANT_1949","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"342193",200057875,"93010","AE6173165","2019-02-15","2025-11-01","professionnel","BILLOT ET GIRARDOT 55210655100013","BILLOT ET GIRARDOT ","55210655100013","6832A","LES LILAS","Mandat en cours","2026-09-18","48 VILLAGEOISE","48 Avenue de la Villageoise 93140 Bondy","48 Avenue de la Villageoise",93140,"Bondy","non connu","non connu","non connu",0,2.490482,48.910103,"1963-08-23","non","non","oui","",0,0,0,27,14,14,2,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"342608",200057875,"93010","AE6235535","2019-02-13","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2019-06-28","6 rue Phileas Collardeau","6 r phileas collardeau 93140 Bondy","6 r phileas collardeau",93140,"Bondy","non connu","non connu","non connu",0,2.471685,48.901562,"1900-01-01","non","non","oui","non connu",0,0,0,11,3,3,0,"NON_CONNUE","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"344655",200057875,"93010","AE6530711","2019-02-15","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-02-05","133 rue de bondy","133 r de bondy 93140 Bondy","133 r de bondy",93140,"Bondy","non connu","non connu","non connu",0,2.496178,48.889519,"1960-06-16","non","non","oui","non connu",0,0,0,20,10,10,0,"AVANT_1949","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"345614",200057875,"93010","AE6676753","2019-02-15","2026-01-03","non connu","non connu","non connu","non connu","non connu","non connu","Mandat expiré sans successeur déclaré","2025-12-31","10 ALLEE RACINE","10 all racine 93140 Bondy","10 all racine",93140,"Bondy","non connu","non connu","non connu",0,2.494255,48.896233,"1990-01-01","non","non","oui","non connu",0,0,0,8,4,4,1,"DE_1949_A_1960","93010000AO0172","93010","000","AO","0172","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"349719",200057875,"93010","AE7394174","2019-02-19","2025-08-24","professionnel","IMMO DEVAUX GESTION 51261054400045","IMMO DEVAUX GESTION ","51261054400045","6832A","PANTIN","Mandat en cours","2026-06-11","SDC 120 ROGER SALENGRO","120 r roger salengro, 93140 Bondy","120 r roger salengro,",93140,"Bondy","non connu","non connu","non connu",0,2.476958,48.896199,"1991-02-18","non","non","oui","non connu",0,0,0,15,15,12,0,"DE_1949_A_1960","93010000at0091","93010","000","at","0091","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"350904",200057875,"93010","AE7585573","2019-02-15","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","","13 et 13 bis avenue des sciences 93140 BONDY","13 av des sciences 93140 Bondy","13 av des sciences",93140,"Bondy","13B av des sciences 93140 Bondy","non connu","non connu",1,2.496251,48.892712,"1952-09-30","non","non connu","oui","non connu",0,0,0,2,2,2,0,"AVANT_1949","93010000AQ0177","93010","000","AQ","0177","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"352642",200057875,"93010","AE7893134","2019-02-25","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2020-01-09","SYNDIC BENEVOLE 30 RUE FONTAINE","30 r fontaine 93140 Bondy","30 r fontaine",93140,"Bondy","non connu","non connu","non connu",0,2.485185,48.909305,"1988-02-01","non","non","oui","non connu",0,0,0,8,8,8,0,"AVANT_1949","930100000F0023","93010","000","0F","0023","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"353148",200057875,"93010","AE7978455","2019-02-26","2025-08-24","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2023-06-30","VILLA CHOPIN VOL. 2","85A r jules guesde 93140 Bondy","85A r jules guesde",93140,"Bondy","VILLA CHOPIN 2 - 87 RUE JULES GUESDE 93140 BONDY","VILLA CHOPIN 2 - 91 BIS RUE JULES GUESDE 93140 BONDY","non connu",2,2.480991,48.903134,"2006-12-12","non","non","oui","non connu",0,0,0,89,38,34,1,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"353591",200057875,"93010","AE8062739","2019-02-27","2025-08-24","professionnel","EDGESTION 82126420700019","EDGESTION ","82126420700019","6831Z","SAINT MAUR DES FOSSES","Mandat en cours","2027-02-21","220 - 17 Moulin","17 all du moulin 93140 Bondy","17 all du moulin",93140,"Bondy","non connu","non connu","non connu",0,2.475937,48.895312,"1962-08-01","non","non","oui","non connu",0,0,0,20,20,20,0,"NON_CONNUE","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"355543",200057875,"93010","AE8393738","2019-03-04","2025-08-24","professionnel","ARCURE INVESTISSEMENT ET PATRIMOINE 82430010700029","ARCURE INVESTISSEMENT ET PATRIMOINE ","82430010700029","6831Z","CHESSY","Mandat en cours","2026-06-30","Hameau de la Gare","130 r baudin 93140 Bondy","130 r baudin",93140,"Bondy","non connu","non connu","non connu",0,2.475612,48.897938,"1993-04-13","non","non","oui","non connu",0,0,0,12,9,9,3,"DE_1975_A_1993","93010000AI0178","93010","000","AI","0178","93010000AI0177","93010","000","AI","0177","","non connu","non connu","non connu","non connu",2,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"356226",200057875,"93010","AE8523680","2019-03-19","2026-01-03","non connu","non connu","non connu","non connu","non connu","non connu","Mandat expiré sans successeur déclaré","2025-12-31","LES MARRONNIERS","43 r du breuil 93140 Bondy","43 r du breuil",93140,"Bondy","non connu","non connu","non connu",0,2.475055,48.901341,"2011-07-13","non","oui","oui","non connu",0,0,0,4,2,2,0,"AVANT_1949","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"360240",200057875,"93010","AE9235326","2019-03-19","2025-11-29","professionnel","BERYL IMMOBILIER 39908255100041","BERYL IMMOBILIER ","39908255100041","6832A","PARIS 11","Mandat en cours","2026-07-01","183 rue Louis Auguste Blanqui","183 r louis auguste blanqui 93140 Bondy","183 r louis auguste blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.4955,48.89701,"2018-10-02","non","non","oui","non connu",0,0,0,21,17,17,4,"A_COMPTER_DE_2011","93010000AO0224","93010","000","AO","0224","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"361154",200057875,"93010","AE9386541","2019-03-22","2025-10-04","professionnel","2 BE IMMO 90998153200015","2 BE IMMO ","90998153200015","6832A","ASNIERES-SUR-OISE","Mandat en cours","2027-06-30","SDC 107 AV. DE LA REPUBLIQUE","107 av de la republique 93140 BONDY","107 av de la republique",93140,"BONDY","107 AVENUE DE LA REPUBLIQUE - BATIMENT A 93140 BONDY","non connu","non connu",1,2.47865,48.898048,"1961-12-21","non","non","oui","non connu",0,0,0,63,44,44,0,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"364390",200057875,"93010","AE9942285","2019-04-03","2025-08-24","professionnel","BLUE SYNDIC 83461882900016","BLUE SYNDIC ","83461882900016","6832A","PARIS 8","Mandat en cours","2026-03-09","SDC 104 RUE ROGER SALENGRO","104 r roger salengro 93140 Bondy","104 r roger salengro",93140,"Bondy","non connu","non connu","non connu",0,2.47719,48.897246,"2016-10-19","non","non","oui","non connu",0,0,0,19,15,15,4,"A_COMPTER_DE_2011","93010000AJ0114","93010","000","AJ","0114","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
