"","testSection","testParcelle","",""
"1832","I","24","I","24"
"1833","Y","73","Y","73"
"1834","D","47","D","47"
"1835","AE","167","AE","167"
"1836","D","73","D","73"
"1837","I","75","I","75"
"1838","BE","100","BE","100"
"1839","AT","82","AT","82"
"1840","O","6","O","6"
"1841","L","32","L","32"
"1842","T","57","T","57"
"1843","U","121","U","121"
"1844","R","123-42-98","R","123-42-98"
"1845","G","27","G","27"
"1846","AI","54","AI","54"
"1847","AZ","121","AZ","121"
"1848","AZ","145","AZ","145"
"1849","U","95","U","95"
"1850","R","26","R","26"
"1851","S","169","S","169"
"1852","AG","158","AG","158"
"1853","Y","100","Y","100"
"1854","AQ","199","AQ","199"
"1855","AO","198","AO","198"
"1856","D","74","D","74"
"1857","Y","46;-266","Y","46 -266"
"1858","Y","4","Y","4"
"1859","AM","38","AM","38"
"1860","AI","146","AI","146"
"1861","Y","114","Y","114"
"1862","Z","53","Z","53"
"1863","AP","170","AP","170"
"1864","AV","86","AV","86"
"1865","AN","92","AN","92"
"1866","AH","52-110","AH","52-110"
"1867","AE","126","AE","126"
"1868","P","5","P","5"
"1869","AN","132","AN","132"
"1870","P","123-124","P","123-124"
"1871","BF","167","BF","167"
"1872","AG","215","AG","215"
"1873","AS","52","AS","52"
"1874","AT","108","AT","108"
"1875","AZ","270","AZ","270"
"1876","AM","38","AM","38"
"1877","AE","167","AE","167"
"1878","B","23","B","23"
"1879","AK","71","AK","71"
"1880","BE","127","BE","127"
"1881","X","2","X","2"
"1882","AG","215","AG","215"
"1883","AS","33","AS","33"
"1884","R","62","R","62"
"1885","U","194","U","194"
"1886","AJ","132","AJ","132"
"1887","AK","87","AK","87"
"1888","AN","67","AN","67"
"1889","N","2;à32","N","2 à32"
"1890","AE","102","AE","102"
"1891","AH","191","AH","191"
"1892","AR","","AR",""
"1893","AK","12et;136","AK","12et 136"
"1894","AX","86","AX","86"
"1895","AX","173;et55","AX","173 et 55"
"1896","AN","69","AN","69"
"1897","OM","118","OM","118"
"1898","AH","234","AH","234"
"1899","Q","5","Q","5"
"1900","AH","102","AH","102"
"1901","AB","42","AB","42"
"1902","AV","144","AV","144"
"1903","Q;,R","31;et139","Q , R","31 et  139"
"1904","AR","53;,65,67","AR","53 ,65,67"
"1905","BD","24","BD","24"
"1906","AY","50","AY","50"
"1907","D","146","D","146"
"1908","V","21","V","21"
"1909","AL","1","AL","1"
"1910","H","234","H","234"
"1911","AN","132","AN","132"
"1912","N","2;à32","N","2 à32"
"1913","AJ","135","AJ","135"
"1914","AB","94","AB","94"
"1915","AN","63","AN","63"
"1916","AG","322","AG","322"
"1917","AZ","263","AZ","263"
"1918","AM","122","AM","122"
"1919","AI","107","AI","107"
"1920","AG","94","AG","94"
"1921","AZ","121","AZ","121"
"1922","J","1","J","1"
"1923","B","311","B","311"
"1924","AP","185","AP","185"
"1925","AP","185","AP","185"
"1926","U","91","U","91"
"1927","AI","18","AI","18"
"1928","A","272","A","272"
"1929","Z","56","Z","56"
"1930","AE","191-210-215-217","AE","191-210-215-217"
"1931","U","125","U","125"
"1932","Y","73","Y","73"
"1933","AT","111","AT","111"
"1934","AY","50","AY","50"
"1935","Y","234","Y","234"
"1936","AX","139","AX","139"
"1937","AO","101","AO","101"
"1938","AN","166","AN","166"
"1939","AU","143","AU","143"
"1940","AD","152","AD","152"
"1941","Y","281","Y","281"
"1942","AK","102","AK","102"
"1943","OX","115","OX","115"
"1944","AO","18","AO","18"
"1945","P","129-130-131-93-87-88","P","129-130-131-93-87-88"
"1946","AO","157","AO","157"
"1947","AO","159","AO","159"
"1948","AK","141","AK","141"
"1949","AS","6","AS","6"
"1950","K","47","K","47"
"1951","B","285","B","285"
"1952","AC","46","AC","46"
"1953","E","86","E","86"
"1954","E;L","86-92-;130","E                L","86-92-            130"
"1955","B","8;et10","B","8 et10"
"1956","AE","133-152-153-154-155","AE","133-152-153-154-155"
"1957","AV","24","AV","24"
"1958","AL","157","AL","157"
"1959","B","311","B","311"
"1960","T","134","T","134"
"1961","U","197","U","197"
"1962","AO","53","AO","53"
"1963","AH","52","AH","52"
"1964","AJ","27","AJ","27"
"1965","AV","137","AV","137"
"1966","AO","229","AO","229"
"1967","AR","36","AR","36"
"1968","H","234","H","234"
"1969","AK","36","AK","36"
"1970","S","169","S","169"
"1971","AS","6","AS","6"
"1972","E","25","E","25"
"1973","AS","110","AS","110"
"1974","","","",""
"1975","AO","53","AO","53"
"1976","AF","85","AF","85"
"1977","AN","214","AN","214"
"1978","AV","144","AV","144"
"1979","AG","197","AG","197"
"1980","AG","197","AG","197"
"1981","M","62","M","62"
"1982","AP","186","AP","186"
"1983","AQ","70","AQ","70"
"1984","AP","189","AP","189"
"1985","AE","57","AE","57"
"1986","AV","76","AV","76"
"1987","F","143","F","143"
"1988","AH","72","AH","72"
"1989","V","34","V","34"
"1990","AT","183","AT","183"
"1991","O","15","O","15"
"1992","AP","202","AP","202"
"1993","AJ","22","AJ","22"
"1994","AX","173;et55","AX","173 et 55"
"1995","O","65","O","65"
"1996","AY","52","AY","52"
"1997","AH","90-193","AH","90-193"
"1998","L","50-137-138-139","L","50-137-138-139"
"1999","AL","79","AL","79"
"2000","D;C","121-124-127;21","D                       C","121-124-127                 21"
"2001","J","1;et2","J","1    et    2"
"2002","D","21-24","D","21-24"
"2003","AH","46","AH","46"
"2004","AU","121-123","AU","121-123"
"2005","AV","89","AV","89"
"2006","AL","180","AL","180"
"2007","AQ","47","AQ","47"
"2008","F","65","F","65"
"2009","AL","19","AL","19"
"2010","X","61-165","X","61-165"
"2011","V","34","V","34"
"2012","AU","40095","AU","40095"
"2013","E,;L","86.129999999999995","E, L","86.129999999999995"
"2014","T","62","T","62"
"2015","0","65","0","65"
"2016","V","31","V","31"
"2017","B;etA","131-309-242-243;/285-283-282","B et A","131-309-242-243   / 285-283-282"
"2018","B","250","B","250"
"2019","AK","130-135","AK","130-135"
"2020","AK","12","AK","12"
"2021","F","143","F","143"
"2022","AO","121","AO","121"
"2023","AX","139","AX","139"
"2024","B","137","B","137"
"2025","AE","174","AE","174"
"2026","B","131-309","B","131-309"
"2027","A","285-283-282","A","285-283-282"
"2028","AK","102","AK","102"
"2029","AV","37","AV","37"
"2030","AN","132","AN","132"
"2031","AU","117-119-141","AU","117-119-141"
"2032","D","61","D","61"
"2033","AN","67","AN","67"
"2034","AL","98","AL","98"
"2035","H","268","H","268"
"2036","AR","60","AR","60"
"2037","AP","74","AP","74"
"2038","AV","212","AV","212"
"2039","AV","190p
Lot;B","AV","190p
Lot B"
"2040","AZ","170","AZ","170"
"2041","BE","111","BE","111"
"2042","E","71","E","71"
"2043","X","96","X","96"
"2044","B","240","B","240"
"2045","AH","46","AH","46"
"2046","AK","71","AK","71"
"2047","B","8;et10","B","8 et 10"
"2048","AG","175","AG","175"
"2049","T","61","T","61"
"2050","","","",""
"2051","AI","189","AI","189"
"2052","AV-AX","190-120","AV-AX","190-120"
"2053","AX","68","AX","68"
"2054","AT","207-210","AT","207-210"
"2055","AO","159","AO","159"
"2056","AV","212","AV","212"
"2057","AX","123-155","AX","123-155"
"2058","AH","191","AH","191"
"2059","B","250;;249;197","B","250; 249;197"
"2060","B","291","B","291"
"2061","AT","105","AT","105"
"2062","AK","136","AK","136"
"2063","AK","36","AK","36"
"2064","E;L","86-92;130","E                L","86-92                 130"
"2065","AO","53","AO","53"
"2066","AN","168","AN","168"
"2067","BE","110","BE","110"
"2068","AC","19-20","AC","19-20"
"2069","Y","73","Y","73"
"2070","AK","130-135","AK","130-135"
"2071","AR","60","AR","60"
"2072","Y","234","Y","234"
"2073","AH","178","AH","178"
"2074","U","153","U","153"
"2075","X","162","X","162"
"2076","AN","132","AN","132"
"2077","F","65","F","65"
"2078","V","34","V","34"
"2079","AO","157","AO","157"
"2080","AQ","213","AQ","213"
"2081","E","38-39","E","38-39"
"2082","AN","143","AN","143"
"2083","F","175
135","F","175
135"
"2084","AC;AB","33-51;1","AC                AB","33-51         1"
"2085","AR","73-74","AR","73-74"
"2086","AX","68","AX","68"
"2087","D","61","D","61"
"2088","AI","59","AI","59"
"2089","O","5","O","5"
"2090","AY","19","AY","19"
"2091","AN","92","AN","92"
"2092","AQ","302-303","AQ","302-303"
"2093","AI","189","AI","189"
"2094","O","15","O","15"
"2095","AO","179","AO","179"
"2096","BE","109","BE","109"
"2097","M","85","M","85"
"2098","BE","110","BE","110"
"2099","AN","168","AN","168"
"2100","BF","113","BF","113"
"2101","AH","66","AH","66"
"2102","D","80","D","80"
"2103","AS","201","AS","201"
"2104","AH","25","AH","25"
"2105","AX","89","AX","89"
"2106","T","62","T","62"
"2107","B","291","B","291"
"2108","AQ","165","AQ","165"
"2109","AV","206","AV","206"
"2110","AK","33","AK","33"
"2111","A","16-18","A","16-18"
"2112","AJ","228","AJ","228"
"2113","AV","12","AV","12"
"2114","R","136","R","136"
"2115","V","66","V","66"
"2116","BD","126","BD","126"
"2117","AX","68","AX","68"
"2118","BD","150","BD","150"
"2119","A","16","A","16"
"2120","AU","117-119-141","AU","117-119-141"
"2121","AX","86","AX","86"
"2122","BD","171-175","BD","171-175"
"2123","G","88","G","88"
"2124","AP","186","AP","186"
"2125","T","62","T","62"
"2126","AR","60","AR","60"
"2127","D","137","D","137"
"2128","T","182","T","182"
"2129","AQ","81","AQ","81"
"2130","AR;AQ","45-48-131;257","AR                   AQ","45-48-131         257"
"2131","","","",""
"2132","BF","150-171","BF","150-171"
"2133","AS","201","AS","201"
"2134","U","70","U","70"
"2135","P","87-88-95-5-6-70-17-68","P","87-88-95-5-6-70-17-68"
"2136","AJ","11","AJ","11"
"2137","T","157","T","157"
"2138","AO","17","AO","17"
"2139","BF","168-195","BF","168-195"
"2140","AL","100","AL","100"
"2141","BD","157","BD","157"
"2142","BD","172","BD","172"
"2143","BD","150","BD","150"
"2144","BD","157","BD","157"
"2145","AL","152","AL","152"
"2146","S","171-172","S","171-172"
"2147","AB","39","AB","39"
"2148","AQ","234","AQ","234"
"2149","AX","68","AX","68"
"2150","V","37","V","37"
"2151","BD","101","BD","101"
"2152","AB","101-102","AB","101-102"
"2153","X","14","X","14"
"2154","AB","89","AB","89"
"2155","AP","74","AP","74"
"2156","H","171","H","171"
"2157","N","2-3-20-29-30-32","N","2-3-20-29-30-32"
"2158","AY","52","AY","52"
"2159","H","64","H","64"
"2160","AI","953","AI","953"
"2161","AO","175","AO","175"
"2162","AH","46","AH","46"
"2163","V","49","V","49"
"2164","AN","178","AN","178"
"2165","D","137","D","137"
"2166","AU","33-34-35","AU","33-34-35"
"2167","AJ","187","AJ","187"
"2168","AS","44","AS","44"
"2169","AB","109","AB","109"
"2170","V","37","V","37"
"2171","AO","159","AO","159"
"2172","AK","84","AK","84"
"2173","A
B","283
242","A
B","283
242"
"2174","B","131-309","B","131-309"
"2175","O
J","180-181
163-177-299-300-301","O
J","180-181
163-177-299-300-301"
"2176","BE","137","BE","137"
"2177","AR","67","AR","67"
"2178","AG","195-197","AG","195-197"
"2179","AG","58","AG","58"
"2180","Y","4","Y","4"
"2181","Y","111","Y","111"
"2182","AT","169","AT","169"
"2183","AQ
AR","257
45-48-131","AQ
AR","257
45-48-131"
"2184","AR","181","AR","181"
"2185","AI","97","AI","97"
"2186","L","112","L","112"
"2187","AM","116","AM","116"
"2188","AP","151","AP","151"
"2189","BF","168-195-206","BF","168-195-206"
"2190","R","119","R","119"
"2191","U","135","U","135"
"2192","G","135","G","135"
"2193","I","20","I","20"
"2194","AR","181","AR","181"
"2195","BG
BH","121
146","BG
BH","121
146"
"2196","R","136","R","136"
"2197","AK","130-135","AK","130-135"
"2198","AJ","14","AJ","14"
"2199","AJ","182","AJ","182"
"2200","AZ","170","AZ","170"
"2201","AZ","145","AZ","145"
"2202","AP","28","AP","28"
"2203","AN","132","AN","132"
"2204","AP","149","AP","149"
"2205","AK","86","AK","86"
"2206","U","70","U","70"
"2207","AN","198","AN","198"
"2208","AR","172-187","AR","172-187"
"2209","BD","171-175","BD","171-175"
"2210","AL","19-20","AL","19-20"
"2211","AH","46","AH","46"
"2212","AB","123","AB","123"
"2213","S","171-172","S","171-172"
"2214","AE","174","AE","174"
"2215","AP","151","AP","151"
"2216","AG","58","AG","58"
"2217","AO","287","AO","287"
"2218","U","197","U","197"
"2219","AR","181","AR","181"
"2220","BD","150","BD","150"
"2221","BD","96","BD","96"
"2222","Bât","S';2","Bât","S' 2"
"2223","A","272","A","272"
"2224","AY","52","AY","52"
"2225","AN","178","AN","178"
"2226","AP","151","AP","151"
"2227","AV","128","AV","128"
"2228","C","34","C","34"
"2229","B","294","B","294"
"2230","A","184","A","184"
"2231","U","78","U","78"
"2232","AO","17","AO","17"
"2233","C","27","C","27"
"2234","AN","1-9-10-196-195-229","AN","1-9-10-196-195-229"
"2235","AI","68-190","AI","68-190"
"2236","X","61-165","X","61-165"
"2237","AX","100","AX","100"
"2238","B","240","B","240"
"2239","B","132","B","132"
"2240","AG","111;(323)","AG","111 (323)"
"2241","AJ","72","AJ","72"
"2242","AP","72","AP","72"
"2243","B","311-312","B","311-312"
"2244","B","250-249-197","B","250-249-197"
"2245","P","129-17-68-87-88-95-130-131-5-6-70","P","129-17-68-87-88-95-130-131-5-6-70"
"2246","A","14","A","14"
"2247","AC","27","AC","27"
"2248","AL","112","AL","112"
"2249","AQ","81","AQ","81"
"2250","AH","71","AH","71"
"2251","AE","29","AE","29"
"2252","AR","56","AR","56"
"2253","AI","184","AI","184"
"2254","BF","168-195","BF","168-195"
"2255","D","47","D","47"
"2256","M","52","M","52"
"2257","A;B","283;242","A                B","283                  242"
"2258","AK","77","AK","77"
"2259","I","35","I","35"
"2260","AK","163","AK","163"
"2261","AS","164","AS","164"
"2262","AT","105","AT","105"
"2263","AD","90","AD","90"
"2264","C","35","C","35"
"2265","AX","139","AX","139"
"2266","AV","24","AV","24"
"2267","H","234","H","234"
"2268","AO","109","AO","109"
"2269","AI","136-141","AI","136-141"
"2270","AJ","65","AJ","65"
"2271","AI","59","AI","59"
"2272","AT","152","AT","152"
"2273","P","23","P","23"
"2274","AE","43","AE","43"
"2275","O","58","O","58"
"2276","Y","211","Y","211"
"2277","AT","215","AT","215"
"2278","I","75","I","75"
"2279","B","311-312","B","311-312"
"2280","AU","102","AU","102"
"2281","AQ","142","AQ","142"
"2282","AR","60","AR","60"
"2283","X","215","X","215"
"2284","X","37","X","37"
"2285","AV","45","AV","45"
"2286","N","2-3-20-29-30-32","N","2-3-20-29-30-32"
"2287","D","137","D","137"
"2288","AY","72","AY","72"
"2289","E","125-126","E","125-126"
"2290","D","47","D","47"
"2291","AH","71","AH","71"
"2292","L","128","L","128"
"2293","BF","168-195","BF","168-195"
"2294","AJ","65","AJ","65"
"2295","AJ","134-135","AJ","134-135"
"2296","AV","128","AV","128"
"2297","AI","182","AI","182"
"2298","BG-BH","121-146","BG-BH","121-146"
"2299","N","1","N","1"
"2300","AN","238","AN","238"
"2301","AK","77","AK","77"
"2302","BD","96","BD","96"
"2303","AF","233","AF","233"
"2304","AK","52","AK","52"
"2305","AT","207","AT","207"
"2306","O","45","O","45"
"2307","AQ","302-303","AQ","302-303"
"2308","T","153","T","153"
"2309","AJ","134-135","AJ","134-135"
"2310","A
B","283
242","A
B","283
242"
"2311","P","16-17","P","16-17"
"2312","U","135","U","135"
"2313","AT","51","AT","51"
"2314","C","69","C","69"
"2315","AH","159","AH","159"
"2316","AV","37","AV","37"
"2317","A","169","A","169"
"2318","AY","72","AY","72"
"2319","H","242-244-289--350-370","H","242-244-289--350-370"
"2320","Y","111","Y","111"
"2321","D","60","D","60"
"2322","AC","24","AC","24"
"2323","AH","77","AH","77"
"2324","BE","112","BE","112"
"2325","AX","37","AX","37"
"2326","U","195","U","195"
"2327","U","18","U","18"
"2328","BG;BH","121;146","BG                     BH","121                146"
"2329","E;L","86;130","E                 L","86          130"
"2330","AV","120","AV","120"
"2331","D","94","D","94"
"2332","AZ","101","AZ","101"
"2333","","","",""
"2334","B","245","B","245"
"2335","D","52","D","52"
"2336","AY","81","AY","81"
"2337","S","11","S","11"
"2338","AV","58","AV","58"
"2339","AT","189","AT","189"
"2340","B","294","B","294"
"2341","E","124-127","E","124-127"
"2342","X","215","X","215"
"2343","X","32","X","32"
"2344","X","14","X","14"
"2345","BC","23","BC","23"
"2346","AI","1","AI","1"
"2347","AQ","236","AQ","236"
"2348","AG","201","AG","201"
"2349","AB","26","AB","26"
"2350","L","61","L","61"
"2351","AT","190","AT","190"
"2352","AH","120","AH","120"
"2353","A","16","A","16"
"2354","C","166","C","166"
"2355","P","129-17-68-87-88-95-130-131-5-6-70","P","129-17-68-87-88-95-130-131-5-6-70"
"2356","AV","141","AV","141"
"2357","B","294","B","294"
"2358","AN","54","AN","54"
"2359","S","54","S","54"
"2360","A","16-18","A","16-18"
"2361","AI","100","AI","100"
"2362","AK","20","AK","20"
"2363","AR","64","AR","64"
"2364","AF","233","AF","233"
"2365","A","151","A","151"
"2366","K","117","K","117"
"2367","U","192","U","192"
"2368","Y","100","Y","100"
"2369","AV","45","AV","45"
"2370","AV","206","AV","206"
"2371","O","58","O","58"
"2372","X","126","X","126"
"2373","AK","51","AK","51"
"2374","Y","25-262","Y","25-262"
"2375","U","5","U","5"
"2376","X","215","X","215"
"2377","U","137","U","137"
"2378","AY","53","AY","53"
"2379","AZ","101","AZ","101"
"2380","C","27","C","27"
"2381","AC","36","AC","36"
"2382","U","79","U","79"
"2383","","","",""
"2384","AT","211","AT","211"
"2385","AG","322","AG","322"
"2386","AK","51","AK","51"
"2387","AP","186","AP","186"
"2388","Y","218","Y","218"
"2389","D","137","D","137"
"2390","AZ","64","AZ","64"
"2391","AP","100","AP","100"
"2392","AI","189-190","AI","189-190"
"2393","X","126","X","126"
"2394","AS","201","AS","201"
"2395","AK","163","AK","163"
"2396","AZ","197","AZ","197"
"2397","B","310-311-313","B","310-311-313"
"2398","BF","41","BF","41"
"2399","Y","37","Y","37"
"2400","AE","194","AE","194"
"2401","T","19","T","19"
"2402","AH","77","AH","77"
"2403","AL","112","AL","112"
"2404","AI","100","AI","100"
"2405","AJ","123","AJ","123"
"2406","H","364","H","364"
"2407","J","277","J","277"
"2408","AU","105","AU","105"
"2409","AH","159","AH","159"
"2410","AK","44","AK","44"
"2411","AN","132","AN","132"
"2412","AG","103","AG","103"
"2413","H","242-244-289-350-370","H","242-244-289-350-370"
"2414","U","70","U","70"
"2415","AB","64","AB","64"
"2416","B","268","B","268"
"2417","C","155","C","155"
"2418","AQ","236","AQ","236"
"2419","U","12","U","12"
"2420","A","215","A","215"
"2421","AV","128","AV","128"
"2422","AQ","132","AQ","132"
"2423","AZ","64","AZ","64"
"2424","B","5","B","5"
"2425","B","5","B","5"
"2426","P","26","P","26"
"2427","O","1","O","1"
"2428","AG","81","AG","81"
"2429","U","186;et189","U","186 et  189"
"2430","AV","58","AV","58"
"2431","AZ","118","AZ","118"
"2432","AM","8","AM","8"
"2433","AT","88-90","AT","88-90"
"2434","U","27","U","27"
"2435","AL","112","AL","112"
"2436","M","23","M","23"
"2437","AJ","106","AJ","106"
"2438","BE","99","BE","99"
"2439","AN","74","AN","74"
"2440","AV","45","AV","45"
"2441","AL","239","AL","239"
"2442","H","242-244-289-350-370","H","242-244-289-350-370"
"2443","L","140","L","140"
"2444","AU","145","AU","145"
"2445","AV","172","AV","172"
"2446","AN","54","AN","54"
"2447","U","79","U","79"
"2448","A","28","A","28"
"2449","AG","201","AG","201"
"2450","K","35","K","35"
"2451","U","201(lot;A)","U","201(lot A )"
"2452","AD","62","AD","62"
"2453","AP","100","AP","100"
"2454","AY","63","AY","63"
"2455","A","169","A","169"
"2456","T","19","T","19"
"2457","B","22","B","22"
"2458","B","5","B","5"
"2459","AE","32","AE","32"
"2460","R","141-142","R","141-142"
"2461","R","141-143-145","R","141-143-145"
"2462","BE","106","BE","106"
"2463","K","36","K","36"
"2464","AG","323","AG","323"
"2465","AH","111","AH","111"
"2466","AR","181","AR","181"
"2467","B","285","B","285"
"2468","UG","255","UG","255"
"2469","","","",""
"2470","K","107","K","107"
"2471","U","17","U","17"
"2472","A","201","A","201"
"2473","BF","173","BF","173"
"2474","E","19","E","19"
"2475","C","156","C","156"
"2476","O","1","O","1"
"2477","L","6","L","6"
"2478","AJ","72","AJ","72"
"2479","BD","101","BD","101"
"2480","M","61","M","61"
"2481","AJ","233","AJ","233"
"2482","BF","98","BF","98"
"2483","H","61","H","61"
"2484","D","137","D","137"
"2485","AJ","70","AJ","70"
"2486","B","227","B","227"
"2487","X","52","X","52"
"2488","AH","159","AH","159"
"2489","AS","102","AS","102"
"2490","AT","195","AT","195"
"2491","AZ","255","AZ","255"
"2492","M","23","M","23"
"2493","AV","127","AV","127"
"2494","BE","98","BE","98"
"2495","K","35","K","35"
"2496","AN","132","AN","132"
"2497","AI","59","AI","59"
"2498","Y","37","Y","37"
"2499","","","",""
"2500","AP","160","AP","160"
"2501","AB","40","AB","40"
"2502","Q","31-37","Q","31-37"
"2503","AQ","31","AQ","31"
"2504","Y","108","Y","108"
"2505","AO","53","AO","53"
"2506","AC","37","AC","37"
"2507","G","34","G","34"
"2508","","","",""
"2509","AZ","11","AZ","11"
"2510","AM","61","AM","61"
"2511","AV","167","AV","167"
"2512","Q","5","Q","5"
"2513","H","234","H","234"
"2514","AK","18","AK","18"
"2515","E","83","E","83"
"2516","","","",""
"2517","AJ","147","AJ","147"
"2518","U","12","U","12"
"2519","BE;/BD","136;/94","BE / BD","136 / 94"
"2520","AU","1","AU","1"
"2521","J","236","J","236"
"2522","I","77","I","77"
"2523","","","",""
"2524","H","234","H","234"
"2525","T","103","T","103"
"2526","S","44","S","44"
"2527","AZ","3","AZ","3"
"2528","AK","86","AK","86"
"2529","S","106","S","106"
"2530","E","2","E","2"
"2531","Y","37","Y","37"
"2532","AT","75","AT","75"
"2533","B","140","B","140"
"2534","B","234","B","234"
"2535","B","234","B","234"
"2536","B","140","B","140"
"2537","B","140","B","140"
"2538","AK","72","AK","72"
"2539","AU","107","AU","107"
"2540","Z","59","Z","59"
"2541","AU","179","AU","179"
"2542","AO","76","AO","76"
"2543","AM","50","AM","50"
"2544","A","214","A","214"
"2545","T","62","T","62"
"2546","A","184","A","184"
"2547","Q","5","Q","5"
"2548","B","193","B","193"
"2549","AH","178","AH","178"
"2550","","","",""
"2551","AP","186","AP","186"
"2552","P","129","P","129"
"2553","B","240","B","240"
"2554","AM","296","AM","296"
"2555","AP","153","AP","153"
"2556","AM","61","AM","61"
"2557","AR","35","AR","35"
"2558","J","181","J","181"
"2559","AH","111","AH","111"
"2560","BE","112","BE","112"
"2561","AQ","133","AQ","133"
"2562","AK","55","AK","55"
"2563","B","22","B","22"
"2564","AB","39","AB","39"
"2565","AK","72","AK","72"
"2566","AN","132","AN","132"
"2567","BF","41","BF","41"
"2568","T","14","T","14"
"2569","Q","5","Q","5"
"2570","Y","286-265","Y","286-265"
"2571","E","72","E","72"
"2572","BF","30","BF","30"
"2573","U","121","U","121"
"2574","AQ","133","AQ","133"
"2575","AK","53","AK","53"
"2576","A","272-269-267-304-305","A","272-269-267-304-305"
"2577","AV","19","AV","19"
"2578","U","195","U","195"
"2579","AL","75","AL","75"
"2580","T","39","T","39"
"2581","P","129-17-68-87-88-95-130-131-5-6-70","P","129-17-68-87-88-95-130-131-5-6-70"
"2582","AP","63","AP","63"
"2583","M","119","M","119"
"2584","AY","81","AY","81"
"2585","M","5-6-7-17","M","5-6-7-17"
"2586","AG","81","AG","81"
"2587","AV","190","AV","190"
"2588","BE","98","BE","98"
"2589","AU","102","AU","102"
"2590","AK","13-125","AK","13-125"
"2591","","","",""
"2592","S","71-205","S","71-205"
"2593","AU","155","AU","155"
"2594","AB","26","AB","26"
"2595","AM","296","AM","296"
"2596","AM","61","AM","61"
"2597","I","77","I","77"
"2598","O","1","O","1"
"2599","AR","168","AR","168"
"2600","S","71","S","71"
"2601","AJ","197","AJ","197"
"2602","AK","114","AK","114"
"2603","Q","5","Q","5"
"2604","AZ","255","AZ","255"
"2605","J","187","J","187"
"2606","E","47","E","47"
"2607","AK","76","AK","76"
"2608","X","63","X","63"
"2609","X","32","X","32"
"2610","Q","5","Q","5"
"2611","L","134","L","134"
"2612","T","19","T","19"
"2613","X","106","X","106"
"2614","O","78","O","78"
"2615","AL","104","AL","104"
"2616","AX","27","AX","27"
"2617","B","250","B","250"
"2618","AR","64","AR","64"
"2619","BG","39","BG","39"
"2620","C","164","C","164"
"2621","Y","120","Y","120"
"2622","AZ","3","AZ","3"
"2623","AR
AQ","41-42
254-267-256","AR
AQ","41-42
254-267-256"
"2624","J","303-305-309","J","303-305-309"
"2625","AZ","45","AZ","45"
"2626","AO","90","AO","90"
"2627","G","92","G","92"
"2628","BC","31","BC","31"
"2629","A","255","A","255"
"2630","AD","90","AD","90"
"2631","AD","62","AD","62"
"2632","AX","81","AX","81"
"2633","V","60","V","60"
"2634","S","71","S","71"
"2635","","","",""
"2636","AV","74","AV","74"
"2637","AR","157","AR","157"
"2638","AS","110","AS","110"
"2639","AI","163","AI","163"
"2640","AN","198","AN","198"
"2641","AI","184","AI","184"
"2642","T","97","T","97"
"2643","AQ","20","AQ","20"
"2644","A","95","A","95"
"2645","D","73","D","73"
"2646","K","35","K","35"
"2647","H","234","H","234"
"2648","A","151","A","151"
"2649","A","267-272","A","267-272"
"2650","AL","115","AL","115"
"2651","Y","108","Y","108"
"2652","AO","129","AO","129"
"2653","AG","52","AG","52"
"2654","Y","211","Y","211"
"2655","AE","34","AE","34"
"2656","M","25","M","25"
"2657","BF","98","BF","98"
"2658","G","92","G","92"
"2659","X","215","X","215"
"2660","AO","90","AO","90"
"2661","Q","25","Q","25"
"2662","AJ","106","AJ","106"
"2663","AM","50","AM","50"
"2664","AG","323","AG","323"
"2665","D","53","D","53"
"2666","M","61","M","61"
"2667","AG","201","AG","201"
"2668","AX","186","AX","186"
"2669","AE","34","AE","34"
"2670","AK","71","AK","71"
"2671","X","81","X","81"
"2672","AQ","133","AQ","133"
"2673","AT","51","AT","51"
"2674","AK","25","AK","25"
"2675","AQ","213","AQ","213"
"2676","AT","111","AT","111"
"2677","S","11;et12","S","11 et 12"
"2678","AQ","142","AQ","142"
"2679","F","23","F","23"
"2680","P","129-130-131-93-87-88","P","129-130-131-93-87-88"
"2681","Y","289","Y","289"
"2682","X","143","X","143"
"2683","S","106","S","106"
"2684","T","66","T","66"
"2685","AV","197","AV","197"
"2686","X","41","X","41"
"2687","X","53","X","53"
"2688","A","167","A","167"
"2689","AH","74","AH","74"
"2690","AY","19","AY","19"
"2691","H","234","H","234"
"2692","B","310;;311;313","B","310; 311; 313"
"2693","E","71","E","71"
"2694","AX","80","AX","80"
"2695","AR","153","AR","153"
"2696","E","80","E","80"
"2697","D","5","D","5"
"2698","B","227","B","227"
"2699","S","14","S","14"
"2700","AO","229","AO","229"
"2701","A","82","A","82"
"2702","L","50-139","L","50-139"
"2703","AO","202","AO","202"
"2704","D","44","D","44"
"2705","B","311-312","B","311-312"
"2706","P","129-130-131-93-87-88","P","129-130-131-93-87-88"
"2707","AD","67","AD","67"
"2708","AC","37","AC","37"
"2709","AB","97","AB","97"
"2710","AV","74","AV","74"
"2711","AL","45","AL","45"
"2712","J","266","J","266"
"2713","AV","112","AV","112"
"2714","B","240","B","240"
"2715","A","167","A","167"
"2716","AP","63","AP","63"
"2717","H","232","H","232"
"2718","J","233","J","233"
"2719","R","140","R","140"
"2720","AS","16","AS","16"
"2721","X","63","X","63"
"2722","BF","168-195","BF","168-195"
"2723","E","47","E","47"
"2724","AS","17","AS","17"
"2725","AO","175","AO","175"
"2726","S","71","S","71"
"2727","AX","15","AX","15"
"2728","AZ","45","AZ","45"
